,Unnamed: 0,Unnamed: 0.1,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement
317,317,317,6204,1058,452,4101.928470034276,3.2092222222222224,0.3215696889326292,0.1002017519092083,3000,1.5
318,318,318,6207,348,610,5614.076498041951,1.035611111111111,0.1295727064891325,0.125117145904425,3000,1.5
319,319,319,6211,776,477,4068.426230620484,3.2752222222222223,0.2495335649329292,0.0761882852527856,3000,1.5
320,320,320,6229,1501,231,5999.473730374528,0.9500833333333334,0.11295939105982,0.1188941928530691,3000,1.8
321,321,321,6263,1396,125,6412.994705196087,0.9285833333333332,0.1379736846809559,0.1485851401033358,3500,2.4
322,322,322,6266,654,452,4311.791027525056,6.729222222222223,0.5576620617390373,0.0828716965086164,3000,1.5
323,323,323,6287,712,477,4392.222543660642,1.824361111111111,0.1471507873067599,0.0806588051074707,3000,1.5
324,324,324,6292,1896,452,5925.5616710277,1.2314444444444446,0.1372317871806804,0.1114396900321324,3000,1.5
325,325,325,6349,285,549,6219.554615830576,0.8145277777777779,0.1145764240468413,0.1406660732423792,3000,1.5
326,326,326,6350,814,477,3630.331753554504,0.633,0.0613322614421277,0.0968914082814024,3000,1.5
327,327,327,6355,2493,347,3610.534412891254,3.502805555555556,0.4520610167102147,0.129056840164374,4000,3.3
328,328,328,6370,388,564,4403.0430116169655,5.8750277777777775,0.5773864999906309,0.0982780885180813,3000,1.5
329,329,329,6383,583,372,3717.788026461608,5.739972222222222,0.4979105984923162,0.0867444264912402,3000,1.5
330,330,330,6392,1115,350,5996.657828479758,3.740083333333333,0.3109509967719809,0.0831401252481845,3000,1.5
331,331,331,6403,1309,115,2207.0171057560246,1.1123611111111111,0.1282020389486235,0.1152521763553613,3500,2.5
332,332,332,6406,659,452,5348.67617107943,0.8183333333333332,0.0864496112429028,0.1056410728019179,3000,1.5
333,333,333,6424,1391,565,4742.647916747692,4.999527777777778,0.4170364472163329,0.0834151675424233,2500,1.3
334,334,334,6429,912,405,5990.938305531268,2.446194444444444,0.2351159729857541,0.0961149975300313,3000,1.5
335,335,335,6444,3217,125,2839.6002330479987,1.2396111111111112,0.1358382698231852,0.1095813587064641,3500,2.4
336,336,336,6455,802,378,6229.979826331023,1.5834722222222224,0.1243706374381505,0.0785429865410651,2500,1.5
337,337,337,6477,1007,458,7521.283253087445,2.175027777777778,0.2677869587186919,0.1231188683908623,3500,2.4
338,338,338,6478,2320,347,4843.575265619138,3.035361111111111,0.4676664423997514,0.1540727528885548,4000,3.3
339,339,339,6483,799,378,4448.527806238138,1.6538055555555555,0.1284900233760067,0.0776935492472956,2500,1.5
340,340,340,6484,349,610,3152.9080675422138,1.066,0.1093167972359853,0.1025485902776598,3000,1.5
341,341,341,6485,1125,410,2915.7918791845145,5.7130277777777785,0.679259303669651,0.1188965518970162,3500,2.5
342,342,342,6489,171,605,2027.3416828364789,1.259777777777778,0.1619507901624992,0.1285550459924583,4000,2.3
343,343,343,6511,328,605,3195.85597826087,1.6355555555555554,0.1359300730361062,0.083109419655228,4000,2.3
344,344,344,6518,725,440,1157.5174582620357,4.805111111111112,0.6784556944970406,0.1411945902620673,3000,1.5
345,345,345,6528,910,350,5837.390351794091,3.321861111111112,0.3777441800768654,0.1137146218465815,3000,1.5
346,346,346,6556,468,372,4290.043808201469,3.4810833333333333,0.288255769656531,0.0828063398817028,3000,1.5
347,347,347,6571,896,437,4431.470535640928,5.747527777777778,0.527729040098701,0.0918184409893782,3000,1.5
348,348,348,6609,2291,437,3714.466203411245,1.0553333333333332,0.0794116664240216,0.0752479467062744,3000,1.5
349,349,349,6631,314,564,5211.976204606736,5.944194444444444,0.5305100217964178,0.0892484300025283,3000,1.5
350,350,350,6669,2256,347,4612.540192926045,1.866,0.2218810661450628,0.118907323764771,4000,3.3
351,351,351,6677,266,610,5032.100069626178,1.1569722222222223,0.1206646628035787,0.1042934830119045,3000,1.5
352,352,352,6708,1016,350,6316.604708798018,1.614,0.181670900886943,0.1125594181455657,3000,1.5
353,353,353,6731,625,402,2921.6184971098264,0.4805555555555555,0.0696020676373898,0.1448366725402332,3000,1.8
354,354,354,6733,1235,437,3443.688181056161,1.6569444444444446,0.1474842724377352,0.0890097872214328,3000,1.5
355,355,355,6734,2023,565,6588.835075197552,0.7628055555555556,0.0756720902900592,0.0992023324147748,2500,1.3
356,356,356,6738,2713,565,6232.638513878389,0.7715833333333333,0.0871526596446423,0.1129530095837248,2500,1.3
357,357,357,6819,1014,350,5782.033717425476,3.852277777777778,0.4182156240291622,0.1085632054992705,3000,1.5
358,358,358,6866,560,452,5438.870308435526,0.6727500000000001,0.066045068278931,0.0981717848813541,3000,1.5
359,359,359,6912,1415,381,7493.670886075948,0.25675,0.0660458107368446,0.2572378217598624,3500,2.4
360,360,360,6964,427,477,7014.506751862102,1.4954722222222223,0.1936618222826854,0.1294987759751968,3000,1.5
361,361,361,6994,1130,382,5169.516980766435,1.7200833333333334,0.1977336783728607,0.1149558713470437,3000,1.5
362,362,362,7018,1024,350,5161.380711371079,4.758416666666667,0.4062959651484553,0.0853846969717073,3000,1.5
363,363,363,7065,785,386,4590.581945301255,4.863,0.5031297580375763,0.1034607768944224,3000,1.5
364,364,364,7090,1343,348,4460.772749503726,1.9310555555555555,0.188981171256402,0.0978641814383393,3000,1.5
365,365,365,7095,1087,201,7083.4146650611565,4.383055555555556,0.4836184451514491,0.1103381964982075,2500,1.5
366,366,366,7108,1438,349,3761.942829980771,2.5712777777777776,0.2177344103475955,0.0846794586836791,3500,2.5
367,367,367,7167,1240,349,3231.6050112716653,1.5032777777777775,0.1422003049340983,0.0945934989768198,3500,2.5
368,368,368,7193,989,355,3275.862961907968,2.145388888888889,0.2065992838887457,0.0962992233989544,3000,1.8
369,369,369,7195,1188,405,3370.382617829563,1.4280277777777777,0.0828054397859587,0.0579858746969307,3000,1.5
370,370,370,7235,422,458,7968.850142999896,1.612277777777778,0.2759480296071201,0.1711541481316344,3500,2.4
371,371,371,7242,1237,405,7419.163273651832,1.5623055555555556,0.1446791099165526,0.0926061546680634,3000,1.5
372,372,372,7281,1111,458,8393.742953776773,1.182666666666667,0.1157502761705259,0.0978722741013466,3500,2.4
373,373,373,7283,1010,350,4839.804936504503,3.337944444444444,0.2302897737796467,0.0689914939006647,3000,1.5
374,374,374,7322,1964,456,2770.663465916145,1.342277777777778,0.0666166325458916,0.0496295428925147,3500,1.8
375,375,375,7343,400,458,3866.444299204435,2.465055555555556,0.3096008621129033,0.1255958963744846,3500,2.4
376,376,376,7401,1935,422,2067.7093215515138,1.0248055555555555,0.0598255316685692,0.0583774466719565,2500,1.5
377,377,377,7422,529,610,4834.65118606746,1.1101111111111113,0.085999355913841,0.0774691425507525,3000,1.5
378,378,378,7445,1385,422,6013.185571217781,1.7696111111111112,0.1715501686146983,0.0969422985296383,2500,1.5
379,379,379,7451,1469,125,6634.49014688055,0.9853055555555555,0.1057760650492957,0.1073535660617023,3500,2.4
380,380,380,7460,786,350,6113.288902957556,3.2468611111111114,0.2939815534995746,0.0905433104278892,3000,1.5
381,381,381,7480,550,382,4246.613571474572,1.2939722222222223,0.1134470607888511,0.0876734900800429,3000,1.5
