,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement,SpeedAverage,SpeedVariance,Air Temperature[F],Precipitation Level[mm],Normalized PKE 1,Normalized PKE 2
2766,4126,176,576,441.0555362424111,5315.017756378134,2.549944444444445,0.2625611974471901,0.1029674187683701,,2.0,36.59983079526226,718.5399830365445,-1.22,0.0,47.0737412503159,6.257363166200529
2767,4127,583,530,395.67371459541397,4477.8393984522745,3.0403055555555563,0.3467371971056053,0.1140468254817387,3500.0,2.5,58.182266009852206,447.20224985270266,24.63,0.0,45.98465579850593,6.601478194386741
2768,4128,1727,459,333.45429959290414,4621.773513884098,6.3611944444444415,0.9657348610253241,0.1518165919088905,4000.0,3.6,85.33295063145809,814.7763727780195,6.28,0.0,64.75487326327871,9.834784505856323
2769,4129,907,480,380.0482822028552,5945.656897888511,7.989361111111113,1.1032153198083663,0.1380855495784365,3500.0,2.4,34.781176470588235,542.0628523862375,3.63,0.0,91.18053699852447,14.715846161154266
2770,4130,946,429,457.60232364904283,5529.584026622299,2.5041666666666664,0.3852095697464327,0.153827448817211,3500.0,3.5,48.283236994219656,507.21582201908865,1.28,0.0,74.68550697259563,13.630105022498704
2771,4131,1708,459,366.95595578500814,6020.3661757929385,4.279972222222222,0.7344876124433346,0.1716103690182312,4000.0,3.6,40.612021857923494,527.0739206149042,12.89,0.0,257.46149761019655,37.86198494267596
2772,4134,1272,415,455.7294699547305,3000.1570222597747,7.4299444444444465,0.7869295003267107,0.1059132415068214,2500.0,2.0,25.78090185676393,512.9312698868596,-10.88,0.0,21.41861847936245,3.465795870446999
2773,4135,1528,202,309.21046613901717,4934.078323440661,6.701555555555558,0.7692447924870719,0.1147860054445675,2500.0,1.8,33.271092669432925,336.84330448309026,3.69,0.0,64.82708357144476,8.846648988496936
2774,4136,3351,575,470.24176888081183,6529.2457970897485,6.8818055555555535,0.9464291068439756,0.1375262784168525,4000.0,2.4,38.56923076923077,313.3385565052232,-5.11,0.5,155.1800233427162,28.783391426471553
2775,4137,2704,185,317.45638069120184,4331.8200577796115,4.846,0.4172249831067317,0.0860967773641625,2500.0,1.5,78.31014150943396,1107.5081851039183,1.29,0.0,22.736977683449783,3.4015950865003615
